message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.406338])";"30";"turtlesim3.sim";"1729242329.752344713";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.406338])";"30";"turtlesim2.sim";"1729242329.745189880";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.408742])";"30";"turtlesim3.sim";"1729242329.736854632";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.408742])";"30";"turtlesim2.sim";"1729242329.729540513";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.411145])";"30";"turtlesim3.sim";"1729242329.720632339";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.411145])";"30";"turtlesim2.sim";"1729242329.713744028";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.413549])";"30";"turtlesim3.sim";"1729242329.703977667";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.413549])";"30";"turtlesim2.sim";"1729242329.697357825";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.415953])";"30";"turtlesim3.sim";"1729242329.687807765";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.415953])";"30";"turtlesim2.sim";"1729242329.681623098";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.418356])";"30";"turtlesim3.sim";"1729242329.672415098";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.418356])";"30";"turtlesim2.sim";"1729242329.665559449";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.420760])";"30";"turtlesim3.sim";"1729242329.656327708";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.420760])";"30";"turtlesim2.sim";"1729242329.649727377";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.423164])";"30";"turtlesim3.sim";"1729242329.640627865";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.423164])";"30";"turtlesim2.sim";"1729242329.633406764";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.425567])";"30";"turtlesim3.sim";"1729242329.624531351";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.425567])";"30";"turtlesim2.sim";"1729242329.617300139";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.427971])";"30";"turtlesim3.sim";"1729242329.607758010";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.427971])";"30";"turtlesim2.sim";"1729242329.601455764";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.430375])";"30";"turtlesim3.sim";"1729242329.591915067";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.430375])";"30";"turtlesim2.sim";"1729242329.585117941";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.432778])";"30";"turtlesim3.sim";"1729242329.575882602";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.432778])";"30";"turtlesim2.sim";"1729242329.569184633";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.435182])";"30";"turtlesim3.sim";"1729242329.559946793";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.435182])";"30";"turtlesim2.sim";"1729242329.553051610";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.437586])";"30";"turtlesim3.sim";"1729242329.544234426";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.437586])";"30";"turtlesim2.sim";"1729242329.537235614";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.439989])";"30";"turtlesim3.sim";"1729242329.528499290";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.439989])";"30";"turtlesim2.sim";"1729242329.521478943";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.442393])";"30";"turtlesim3.sim";"1729242329.512237893";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.442393])";"30";"turtlesim2.sim";"1729242329.505028800";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.444797])";"30";"turtlesim3.sim";"1729242329.496242701";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.444797])";"30";"turtlesim2.sim";"1729242329.488916140";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.447200])";"30";"turtlesim3.sim";"1729242329.480224288";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.447200])";"30";"turtlesim2.sim";"1729242329.473422687";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.449604])";"30";"turtlesim3.sim";"1729242329.464314967";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.449604])";"30";"turtlesim2.sim";"1729242329.457203436";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.452008])";"30";"turtlesim3.sim";"1729242329.448152916";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.452008])";"30";"turtlesim2.sim";"1729242329.441214546";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.454411])";"30";"turtlesim3.sim";"1729242329.432603456";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.454411])";"30";"turtlesim2.sim";"1729242329.425712969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.456815])";"30";"turtlesim3.sim";"1729242329.416345478";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.456815])";"30";"turtlesim2.sim";"1729242329.409467074";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.459219])";"30";"turtlesim3.sim";"1729242329.400512178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.459219])";"30";"turtlesim2.sim";"1729242329.393415952";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.461622])";"30";"turtlesim3.sim";"1729242329.384428668";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.461622])";"30";"turtlesim2.sim";"1729242329.377238554";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.464026])";"30";"turtlesim3.sim";"1729242329.368388493";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.464026])";"30";"turtlesim2.sim";"1729242329.361092965";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.466430])";"30";"turtlesim3.sim";"1729242329.352252244";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.466430])";"30";"turtlesim2.sim";"1729242329.345109644";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.468833])";"30";"turtlesim3.sim";"1729242329.336301963";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.468833])";"30";"turtlesim2.sim";"1729242329.329277705";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.471237])";"30";"turtlesim3.sim";"1729242329.320217037";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.471237])";"30";"turtlesim2.sim";"1729242329.312921724";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.473641])";"30";"turtlesim3.sim";"1729242329.304249994";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.473641])";"30";"turtlesim2.sim";"1729242329.297303347";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.476044])";"30";"turtlesim3.sim";"1729242329.288238104";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.476044])";"30";"turtlesim2.sim";"1729242329.280979846";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.478448])";"30";"turtlesim3.sim";"1729242329.272204457";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.478448])";"30";"turtlesim2.sim";"1729242329.265777739";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.480852])";"30";"turtlesim3.sim";"1729242329.256285177";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.480852])";"30";"turtlesim2.sim";"1729242329.249445915";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.483255])";"30";"turtlesim3.sim";"1729242329.240267513";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.483255])";"30";"turtlesim2.sim";"1729242329.233182925";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.485659])";"30";"turtlesim3.sim";"1729242329.224105714";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.485659])";"30";"turtlesim2.sim";"1729242329.217743837";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.488063])";"30";"turtlesim3.sim";"1729242329.208227528";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.488063])";"30";"turtlesim2.sim";"1729242329.201498357";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.490466])";"30";"turtlesim3.sim";"1729242329.192533375";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.490466])";"30";"turtlesim2.sim";"1729242329.185388500";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.492870])";"30";"turtlesim3.sim";"1729242329.176751255";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.492870])";"30";"turtlesim2.sim";"1729242329.169264046";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.495274])";"30";"turtlesim3.sim";"1729242329.160837002";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.495274])";"30";"turtlesim2.sim";"1729242329.153367917";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.497677])";"30";"turtlesim3.sim";"1729242329.143962978";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.497677])";"30";"turtlesim2.sim";"1729242329.136869583";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.500081])";"30";"turtlesim3.sim";"1729242329.128319583";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.500081])";"30";"turtlesim2.sim";"1729242329.121367756";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.502485])";"30";"turtlesim3.sim";"1729242329.112136617";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.502485])";"30";"turtlesim2.sim";"1729242329.105501929";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.504888])";"30";"turtlesim3.sim";"1729242329.048320558";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.504888])";"30";"turtlesim2.sim";"1729242329.040959453";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.507292])";"30";"turtlesim3.sim";"1729242329.032502900";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.507292])";"30";"turtlesim2.sim";"1729242329.025447995";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.509696])";"30";"turtlesim3.sim";"1729242329.016740151";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.509696])";"30";"turtlesim2.sim";"1729242329.008832131";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.512099])";"30";"turtlesim3.sim";"1729242329.000224408";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.512099])";"30";"turtlesim2.sim";"1729242328.993765568";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.514503])";"30";"turtlesim3.sim";"1729242328.984071106";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.514503])";"30";"turtlesim2.sim";"1729242328.977187055";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.516907])";"30";"turtlesim3.sim";"1729242328.967957733";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.516907])";"30";"turtlesim2.sim";"1729242328.961219648";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.519310])";"30";"turtlesim3.sim";"1729242328.952123224";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.519310])";"30";"turtlesim2.sim";"1729242328.945301274";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.521714])";"30";"turtlesim3.sim";"1729242328.936704931";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.521714])";"30";"turtlesim2.sim";"1729242328.929677064";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.524117])";"30";"turtlesim3.sim";"1729242328.920258278";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.524117])";"30";"turtlesim2.sim";"1729242328.913093534";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.526521])";"30";"turtlesim3.sim";"1729242328.904647999";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.526521])";"30";"turtlesim2.sim";"1729242328.897675638";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.528925])";"30";"turtlesim3.sim";"1729242328.888113060";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.528925])";"30";"turtlesim2.sim";"1729242328.881108802";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.531328])";"30";"turtlesim3.sim";"1729242328.871852823";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.531328])";"30";"turtlesim2.sim";"1729242328.865394136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.533732])";"30";"turtlesim3.sim";"1729242328.855995230";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.533732])";"30";"turtlesim2.sim";"1729242328.849282427";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.536136])";"30";"turtlesim3.sim";"1729242328.839947773";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.536136])";"30";"turtlesim2.sim";"1729242328.833639453";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.538539])";"30";"turtlesim3.sim";"1729242328.823989347";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.538539])";"30";"turtlesim2.sim";"1729242328.817441010";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.540943])";"30";"turtlesim3.sim";"1729242328.808531418";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.540943])";"30";"turtlesim2.sim";"1729242328.801660448";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.543347])";"30";"turtlesim3.sim";"1729242328.792215927";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.543347])";"30";"turtlesim2.sim";"1729242328.785088210";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.545750])";"30";"turtlesim3.sim";"1729242328.775960350";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.545750])";"30";"turtlesim2.sim";"1729242328.768935567";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.548154])";"30";"turtlesim3.sim";"1729242328.760161675";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.548154])";"30";"turtlesim2.sim";"1729242328.753064265";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.550558])";"30";"turtlesim3.sim";"1729242328.744295919";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.550558])";"30";"turtlesim2.sim";"1729242328.737105542";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.552961])";"30";"turtlesim3.sim";"1729242328.728461114";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.552961])";"30";"turtlesim2.sim";"1729242328.721177576";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.555365])";"30";"turtlesim3.sim";"1729242328.712058730";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.555365])";"30";"turtlesim2.sim";"1729242328.705736553";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.557769])";"30";"turtlesim3.sim";"1729242328.696696007";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.557769])";"30";"turtlesim2.sim";"1729242328.689173884";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.560172])";"30";"turtlesim3.sim";"1729242328.680194144";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.560172])";"30";"turtlesim2.sim";"1729242328.672812387";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.562576])";"30";"turtlesim3.sim";"1729242328.663952679";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.562576])";"30";"turtlesim2.sim";"1729242328.657646324";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.564980])";"30";"turtlesim3.sim";"1729242328.648371186";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.564980])";"30";"turtlesim2.sim";"1729242328.641859960";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.567383])";"30";"turtlesim3.sim";"1729242328.632747107";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.567383])";"30";"turtlesim2.sim";"1729242328.625261055";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.569787])";"30";"turtlesim3.sim";"1729242328.616469666";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.569787])";"30";"turtlesim2.sim";"1729242328.609218129";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120799, y=1.572191])";"30";"turtlesim3.sim";"1729242328.600571958";"./src/turtle.cpp:update:260"
